film,sort_type,review,sentiment,normalized_review
Victoria,highest,"Every time I watch it Iâ€™m more blown away. This film has no contemporaries. Other one-takes either feel forced or have a scope too narrow to make the feat meaningful. Victoria, however, has an enormous scope that meets the moment at every turn.Thereâ€™s no settling for mediocrity to achieve the goal. These actors give their all for the lengthy runtime and it ends up a true masterpiece that would be thoroughly enjoyable even if filmed traditionally.As we pass this films 10th birthday, I continue to hope it will finally get the mainstream recognition it deserves.",Neutral,every time i watch it i m more blown away this film has no contemporaries other one takes either feel forced or have a scope too narrow to make the feat meaningful victoria however has an enormous scope that meets the moment at every turn there s no settling for mediocrity to achieve the goal these actors give their all for the lengthy runtime and it ends up a true masterpiece that would be thoroughly enjoyable even if filmed traditionally as we pass this films th birthday i continue to hope it will finally get the mainstream recognition it deserves
Victoria,highest,All in 1 shot. Why I haven't seen this earlierÂ¿?I'd like to think that Victoria went on with her life just fineNils Frahm is god ðŸ™,Neutral,all in shot why i haven t seen this earlier i d like to think that victoria went on with her life just finenils frahm is god
Victoria,highest,The power of friendship did not prevail,Neutral,the power of friendship did not prevail
Victoria,highest,"Wow, that totally came out of left field. A really tense movie that just snowballs, the thing is beautiful and the soundtrack is excellent, but the acting is overwhelming. While the story is fiction, the people are as real as it gets.",Positive,wow that totally came out of left field a really tense movie that just snowballs the thing is beautiful and the soundtrack is excellent but the acting is overwhelming while the story is fiction the people are as real as it gets
Timecrimes,lowest,Nah donâ€™t fuck with this it all took me like allDamn day to watch this could not get on board w this plot ðŸ‘Ž,Negative,nah don t fuck with this it all took me like alldamn day to watch this could not get on board w this plot
Timecrimes,lowest,"Didn't like how the movie treated the unnamed female character. Weirdly sexist.Plot wise this is nothing unique, I've seen this kind of movie enough times to think I myself might be in a time loop. Didn't really offer anything new except for the, well, cum pool I guess.",Neutral,didn t like how the movie treated the unnamed female character weirdly sexist plot wise this is nothing unique i ve seen this kind of movie enough times to think i myself might be in a time loop didn t really offer anything new except for the well cum pool i guess
Timecrimes,lowest,"the protagonist is a fat, slow, stupid creep.",Negative,the protagonist is a fat slow stupid creep
Timecrimes,lowest,This is one of my least favorite portrayals of time travel - causal loops can be fun (where you only do something because you did it before) but the origin of that action should have some meaning to it or some relation to the characterâ€™s will - making the woman take off her clothes in the forest for no reason just because heâ€™d seen it before felt like a poorly chosen and unnecessarily explicit way to demonstrate this. Also wasâ€¦,Neutral,this is one of my least favorite portrayals of time travel causal loops can be fun where you only do something because you did it before but the origin of that action should have some meaning to it or some relation to the character s will making the woman take off her clothes in the forest for no reason just because he d seen it before felt like a poorly chosen and unnecessarily explicit way to demonstrate this also was
Timecrimes,lowest,"If one have watched a handful of time travel movies, they alomst would have known what is happening and what is about to. With it being made one and a hald decade before, it might have been riveting then but I feel that it didn't stand the test of the time.",Positive,if one have watched a handful of time travel movies they alomst would have known what is happening and what is about to with it being made one and a hald decade before it might have been riveting then but i feel that it didn t stand the test of the time
Timecrimes,lowest,"This felt very male gaze-y and the storyline was very basic. I was not entertained at all, so thereâ€™s 1 star for you.",Neutral,this felt very male gaze y and the storyline was very basic i was not entertained at all so there s star for you
Timecrimes,lowest,"Iâ€™ll be quick: this movie is dreadful. It tries to be smart, to be dark, to be somehow good, and it catastrophically fails at everything it does. Itâ€™s not surprising, itâ€™s not intense, itâ€™s not enjoyable at all. And worst of all: despite being 80 minutes long, it makes you sit through it as if it were a 4 hour long feature â€” behaving as if it were profound, moving awfully slowâ€¦ and, letâ€™s be honest, making you feel as if you wasted 240 minutes of your life when you havenâ€™t even wasted 90.I still canâ€™t believe how awful this movie was, reallyâ€¦ *sigh*",Neutral,i ll be quick this movie is dreadful it tries to be smart to be dark to be somehow good and it catastrophically fails at everything it does it s not surprising it s not intense it s not enjoyable at all and worst of all despite being minutes long it makes you sit through it as if it were a hour long feature behaving as if it were profound moving awfully slow and let s be honest making you feel as if you wasted minutes of your life when you haven t even wasted i still can t believe how awful this movie was really sigh
Timecrimes,lowest,"Idiot man defies darwinism, unfortunately.",Negative,idiot man defies darwinism unfortunately
Timecrimes,highest,Hector is the unemployed friend on a random Tuesday,Negative,hector is the unemployed friend on a random tuesday
Timecrimes,highest,Brilliant. Very good concept and very well done.,Positive,brilliant very good concept and very well done
Timecrimes,highest,This is one of the most excellent and well-developed time travel stories ever to be put on screen. Shame the bike girl went through all that.,Positive,this is one of the most excellent and well developed time travel stories ever to be put on screen shame the bike girl went through all that
Timecrimes,highest,"Proof that you don't need a big budget or special effects to make compelling sci-fi. Simplicity in the setting works as the script, mood and performances are so tight and wonderfully engrossing. It's stressful, which is layered through the increasingly disastrous effects of how the film portrays it's time travel concepts. It's small in scope and it benefits massively from that restrained. The film aesthetic could of been very dark and hard to distinguish, but you can see everying fromâ€¦",Neutral,proof that you don t need a big budget or special effects to make compelling sci fi simplicity in the setting works as the script mood and performances are so tight and wonderfully engrossing it s stressful which is layered through the increasingly disastrous effects of how the film portrays it s time travel concepts it s small in scope and it benefits massively from that restrained the film aesthetic could of been very dark and hard to distinguish but you can see everying from
Timecrimes,highest,"talked about forEpisode 001 of my podcast alongside The Time Machine (1960) with guest Taylor Wilson, also available on Spotify, Apple Podcasts, and wherever else :).was thinking 4.5 or 5, but this has stuck with me a bit since watching it. Part of the reason is that I really like The Swimmer, and this gave me major The Swimmer vibes. And I love little 90 minute movies. And I love the way it was shot. And I loved how lurid it went. Yeah, 5 stars, I think perfect. Excited to see other of Vigalondo's work!",Positive,talked about forepisode of my podcast alongside the time machine with guest taylor wilson also available on spotify apple podcasts and wherever else was thinking or but this has stuck with me a bit since watching it part of the reason is that i really like the swimmer and this gave me major the swimmer vibes and i love little minute movies and i love the way it was shot and i loved how lurid it went yeah stars i think perfect excited to see other of vigalondo s work
Timecrimes,highest,"How the fuck can't Hollywood compete with a movie with a budget of two millions, names you never heard of and music which sounds so old it could be royality free again?The execution, the concept, the characters, the actors, just everything clicks very satisfyingly together. Yeah, even the music. I can't fathom how Nacho Vigalondo wasn't overly night a second Christopher Nolan. I mean, okay, he did work one time with Elijah Wood, but that seemed to be the death of his carrer, sadly. Speaking of, Open Windows just jumped massively on my watchlist!",Neutral,how the fuck can t hollywood compete with a movie with a budget of two millions names you never heard of and music which sounds so old it could be royality free again the execution the concept the characters the actors just everything clicks very satisfyingly together yeah even the music i can t fathom how nacho vigalondo wasn t overly night a second christopher nolan i mean okay he did work one time with elijah wood but that seemed to be the death of his carrer sadly speaking of open windows just jumped massively on my watchlist
Timecrimes,highest,"HOLY HELLThe less you know about this movie going in, the better",Neutral,holy hellthe less you know about this movie going in the better
Timecrimes,highest,"Wow. Fantastically plotted, paced, directed and acted! Amazing film that answers most of it's own questions which is rare in time travel movies. Most of the time there are massive plot holes, but here it is more of mildly odd decisions by the main character at most. But at the same time, Hector seems to be sort of a mild mannered every day sort of dude, not really have been prepared for being thrust into a time travel situation.Theâ€¦",Positive,wow fantastically plotted paced directed and acted amazing film that answers most of it s own questions which is rare in time travel movies most of the time there are massive plot holes but here it is more of mildly odd decisions by the main character at most but at the same time hector seems to be sort of a mild mannered every day sort of dude not really have been prepared for being thrust into a time travel situation the
The Guilty,lowest,"Not sure why this is getting such rapturous praise (currently sitting at 99% on RT). I thought this was incredibly boring. Words like â€œnail-bitingâ€, â€œtons of twists-&-turnsâ€, â€œgrippingâ€ & â€œcleverâ€ were used but I never experienced any of that during the film.The plot concerns an emergency dispatch officer who receives a troubling phone call. This is a single-location movie similar to such films like Phone Booth, Buried & Locke",Negative,
The Guilty,lowest,Thrillers work mostly due to a threat to their featured protagonist. Cortes' Buried is tense because Reynolds is buried alive and tries not to die. It's not just about resisting death. But... WE CARE! The threats here are happening not to the character seen on screen. And we don't connect to them dramatically because of the mystery. They are even a total stranger! An idea destined to flounder. And it does!,Neutral,thrillers work mostly due to a threat to their featured protagonist cortes buried is tense because reynolds is buried alive and tries not to die it s not just about resisting death but we care the threats here are happening not to the character seen on screen and we don t connect to them dramatically because of the mystery they are even a total stranger an idea destined to flounder and it does
The Guilty,lowest,i was hoping iâ€™d like the original better but i think the execution was still poor and i hate the sub plots,Neutral,i was hoping i d like the original better but i think the execution was still poor and i hate the sub plots
The Guilty,lowest,"The more I think about this film, the angrier it makes meI can't fault the acting or pacing, and the premise is brilliant,However, what begins as a gripping and timely thriller, in which a domestic violence situation becomes a terrifying ticking clock, is ultimately a story of villifying mental illness while absolving or glossing over the violence and abuse of power of men",Neutral,the more i think about this film the angrier it makes mei can t fault the acting or pacing and the premise is brilliant however what begins as a gripping and timely thriller in which a domestic violence situation becomes a terrifying ticking clock is ultimately a story of villifying mental illness while absolving or glossing over the violence and abuse of power of men
The Guilty,lowest,never knew a movie can make me regret this much I saw it. der film war SO was von without sens. âœ¨wasted 90 mins of my lifeâœ¨,Neutral,never knew a movie can make me regret this much i saw it der film war so was von without sens wasted mins of my life
The Guilty,lowest,Was so hard not to fall asleep.~Half a star.,Negative,was so hard not to fall asleep half a star
The Guilty,lowest,"I didn't care for this movie. Watching one guy for 90 minutes isn't that exciting even if the story was pretty good. This, much like Locke, fails.",Neutral,i didn t care for this movie watching one guy for minutes isn t that exciting even if the story was pretty good this much like locke fails
The Guilty,lowest,"I never got around to logging this because fffffffffuck this film but news is thereâ€™s an American remake on its way?KEEP IT.Make better choices, Jakey G.",Positive,i never got around to logging this because fffffffffuck this film but news is there s an american remake on its way keep it make better choices jakey g
The Guilty,lowest,"This is vile trash. Obvious as hell and doesnâ€™t have nearly enough material for its slim runtime, and initially it seems like itâ€™s going to run the protagonistâ€™s redemption arc through a domestic violence narrative. Thatâ€™s gross enough, but then thereâ€™s a completely reprehensible â€œtwistâ€ that basically turns the film into wank fodder for Menâ€™s Rights Activists.Fuck everyone involved with the making of this movie.Edited to add: I'm baffled by everyone praising the sound design because I foundâ€¦",Neutral,this is vile trash obvious as hell and doesn t have nearly enough material for its slim runtime and initially it seems like it s going to run the protagonist s redemption arc through a domestic violence narrative that s gross enough but then there s a completely reprehensible twist that basically turns the film into wank fodder for men s rights activists fuck everyone involved with the making of this movie edited to add i m baffled by everyone praising the sound design because i found
The Guilty,lowest,"It feels like a first year film student's project, painfully predictable. I kept watching in hopes of it giving me more than a weak twist but I wasn't left with much.",Neutral,it feels like a first year film student s project painfully predictable i kept watching in hopes of it giving me more than a weak twist but i wasn t left with much
The Guilty,highest,"Very high on my list of awesome experiences inside the Kimball Tower. I was kinda worried that staying inside the office the whole time would feel gimmicky, but it was so far from that. I was also worried that it would be an oversimplified, over-glorified portrait of a cop, but it was again, very far from that.It was incredibly written, paced, acted, and shot. I think I was most impressed by the actors we didnâ€™t get to see. Lots of emotion in just voices. Awesome!!!!!!",Positive,very high on my list of awesome experiences inside the kimball tower i was kinda worried that staying inside the office the whole time would feel gimmicky but it was so far from that i was also worried that it would be an oversimplified over glorified portrait of a cop but it was again very far from that it was incredibly written paced acted and shot i think i was most impressed by the actors we didn t get to see lots of emotion in just voices awesome
The Guilty,highest,"The best film Iâ€™ve seen with a one location premise, also completely in real time so the suspense is crazy.In between the dramatic moments of tension and action you just watch the protagonist wrack his brain trying to figure out what to do next - that is cinema",Neutral,the best film i ve seen with a one location premise also completely in real time so the suspense is crazy in between the dramatic moments of tension and action you just watch the protagonist wrack his brain trying to figure out what to do next that is cinema
The Guilty,highest,The writing and acting it takes to make a movie this good while all events take place through a phone call is incredible. This is a first watch masterpiece.I havenâ€™t watched the Jake whateverhall version but I think itâ€™s safe to say that youâ€™d be doing yourself a favor to just read subtitles.,Positive,the writing and acting it takes to make a movie this good while all events take place through a phone call is incredible this is a first watch masterpiece i haven t watched the jake whateverhall version but i think it s safe to say that you d be doing yourself a favor to just read subtitles
The Guilty,highest,this is way better than the jake gyllenhal versioni love how great denmark is at making moviesdannebrogðŸ¤˜ðŸ‡©ðŸ‡°,Positive,this is way better than the jake gyllenhal versioni love how great denmark is at making moviesdannebrog
The Guilty,highest,This is perhaps the most intense and claustrophobic experience I've ever had. The film grabs you and does not let go for a single second as you watch a dubious dispatcher stumble his way through a nightmare scenario. What earns me the five stars is that it did not let up even at the very end. It continues to get deeper and more complex while utilizing only one backdrop. The dialogue although translated from a language I do not speakâ€¦,Neutral,this is perhaps the most intense and claustrophobic experience i ve ever had the film grabs you and does not let go for a single second as you watch a dubious dispatcher stumble his way through a nightmare scenario what earns me the five stars is that it did not let up even at the very end it continues to get deeper and more complex while utilizing only one backdrop the dialogue although translated from a language i do not speak
The Guilty,highest,"So much better than the remake, Americans, stop doing stuff",Positive,so much better than the remake americans stop doing stuff
The Guilty,highest,Alarm center police guy. Who is the actual guilty person. Thrilling. Holywood made a remake.,Neutral,alarm center police guy who is the actual guilty person thrilling holywood made a remake
The Guilty,highest,Had to watch this in preparation for acting class. Masterful suspense thriller. Doesnâ€™t leave a moment to waste and you are on edge the whole time especially with the twists and turns that ensue throughout the duration of the picture.,Neutral,had to watch this in preparation for acting class masterful suspense thriller doesn t leave a moment to waste and you are on edge the whole time especially with the twists and turns that ensue throughout the duration of the picture
Calibre,lowest,"If I could give it negative stars I would, legit a waste of time",Negative,if i could give it negative stars i would legit a waste of time
Calibre,lowest,"I watched, like, 10% of this movie, & then I fell asleep.",Neutral,i watched like of this movie then i fell asleep
Calibre,lowest,Why does this movie have 100% on rotten tomatoes.,Neutral,why does this movie have on rotten tomatoes
Calibre,lowest,"Honestly one of the worst films Iâ€™ve ever watched. Predictable and boring,",Negative,honestly one of the worst films i ve ever watched predictable and boring
Calibre,lowest,Completely uninteresting and predictable movie with zero suspense. They tried too hard to make the film realistic to the point where it just wasn't interesting. At no point did I give even the slightest care about any character. Anyone saying this film was thrilling or anything short of completely fucking boring was paid off by netflix.,Negative,completely uninteresting and predictable movie with zero suspense they tried too hard to make the film realistic to the point where it just wasn t interesting at no point did i give even the slightest care about any character anyone saying this film was thrilling or anything short of completely fucking boring was paid off by netflix
Calibre,lowest,Half star for the Scottish accent,Negative,half star for the scottish accent
Calibre,lowest,What a shite movie. Honestly donâ€™t even waste your time.,Neutral,what a shite movie honestly don t even waste your time
Calibre,lowest,"Too slow and dragging for my taste. I usually enjoy these types of films. The ones where 'unsuspecting city folk go to pokey, rural villages in the backend of nowhere and encounter unfriendly locals'. The first 20 minutes where mildly interesting, due to my enjoyment of the lighting and dark/warm colour scheme, highlighting the two friends relationship to each other. I could believe they were long time school friends off for their boys' get together.We witness two morally ambiguousâ€¦",Neutral,too slow and dragging for my taste i usually enjoy these types of films the ones where unsuspecting city folk go to pokey rural villages in the backend of nowhere and encounter unfriendly locals the first minutes where mildly interesting due to my enjoyment of the lighting and dark warm colour scheme highlighting the two friends relationship to each other i could believe they were long time school friends off for their boys get together we witness two morally ambiguous
Calibre,highest,"so tense, so well paced, things being revealed in the perfect order, totally harrowing and horrible. beautifully shot and scored. a gem",Positive,so tense so well paced things being revealed in the perfect order totally harrowing and horrible beautifully shot and scored a gem
Calibre,highest,"Fantastic movie, never knew what was going to happen next! 10/10 recommend!!",Positive,fantastic movie never knew what was going to happen next recommend
Calibre,highest,Intense! Itâ€™s your cup of tea if you like being disturbed. It is a smooth thriller and you are likely to end up depressed for the rest of the day.,Positive,intense it s your cup of tea if you like being disturbed it is a smooth thriller and you are likely to end up depressed for the rest of the day
Calibre,highest,"A rare gem on netflix!The relentless momentum kept me constantly on the edge of my seat that I had to press pause a couple times midway. The suspense is real!What was supposed to be a fun last trip of freedom turned into a bleak never-ending nightmare. It's a movie about choices and their consequences.Audiences were forced to be engaged in every turn, and yes, it's harrowing. It puts us in the heart and mind of the mainâ€¦",Positive,a rare gem on netflix the relentless momentum kept me constantly on the edge of my seat that i had to press pause a couple times midway the suspense is real what was supposed to be a fun last trip of freedom turned into a bleak never ending nightmare it s a movie about choices and their consequences audiences were forced to be engaged in every turn and yes it s harrowing it puts us in the heart and mind of the main
Calibre,highest,This film is so good #noscotlandnoparty,Positive,this film is so good noscotlandnoparty
Calibre,highest,"If you want a really tense, 90ish minute movie and a lot of depth this is and ez recommend",Negative,if you want a really tense ish minute movie and a lot of depth this is and ez recommend
Calibre,highest,Brits know how to make Indie thrillers. A must watch for no thrills thrillers.,Positive,brits know how to make indie thrillers a must watch for no thrills thrillers
Calibre,highest,Pure anxiety all the way through AH,Positive,pure anxiety all the way through ah
Calibre,highest,The way this film was not at all what I expected. Just kept me on edge throughout. Jack Lowden is the ðŸ,Neutral,the way this film was not at all what i expected just kept me on edge throughout jack lowden is the
Calibre,highest,"Amazing film omg just great all around. Great acting, great ending, great story just throughly entertaining. Makes you think what would u do in this situation",Positive,amazing film omg just great all around great acting great ending great story just throughly entertaining makes you think what would u do in this situation
Calibre,highest,Sat on the edge of my seat start to finish,Neutral,sat on the edge of my seat start to finish
Calibre,highest,"So simple but deeply complex. What would you do? What should they have done? When did things go wrong? So many incredible ethical dilemmas to analyze.Plus we talk about what dinner scenes mean and symbolize.Also, I thought of a take so good, it might be one of my all time best.Desert of the Reel Podcast",Positive,so simple but deeply complex what would you do what should they have done when did things go wrong so many incredible ethical dilemmas to analyze plus we talk about what dinner scenes mean and symbolize also i thought of a take so good it might be one of my all time best desert of the reel podcast
Calibre,highest,Amazing one!! That confession scene and the climax was so good. Loved it.,Positive,amazing one that confession scene and the climax was so good loved it
Calibre,highest,An immensely gripping film that transports you to the Scottish Highlands and the drama that unfolds throughout the film. Gets better with every watch and is the perfect film to watch before a hike.,Positive,an immensely gripping film that transports you to the scottish highlands and the drama that unfolds throughout the film gets better with every watch and is the perfect film to watch before a hike
Calibre,highest,What a series of bad decisions made by two intelligent men. Hard to watch. Â But I did and couldnâ€™t turn away!,Neutral,what a series of bad decisions made by two intelligent men hard to watch but i did and couldn t turn away
Coherence,lowest,like watch it if you want butâ€¦.wow that shit is bogus,Neutral,like watch it if you want but wow that shit is bogus
Coherence,lowest,the night housebut make it for $1 with the worst actors you have ever seen in your lifethis was genuinely so awful i had to check the release date mid-watch because i becameconvincedthe only way you could put out something this cheap-looking and poorly crafted was because you were stuck in quarantine with a bunch of your actor friends and trying to pass the time. nope! made in 2013.,Negative,the night housebut make it for with the worst actors you have ever seen in your lifethis was genuinely so awful i had to check the release date mid watch because i becameconvincedthe only way you could put out something this cheap looking and poorly crafted was because you were stuck in quarantine with a bunch of your actor friends and trying to pass the time nope made in
Coherence,lowest,if i could rate this a zero i would. i hated this movie to much it was so confusing i hate improv,Negative,if i could rate this a zero i would i hated this movie to much it was so confusing i hate improv
Coherence,lowest,White peoples version ofUSbut lower budget.,Neutral,white peoples version ofusbut lower budget
Coherence,lowest,didnt finish. i did not care for the characters,Neutral,didnt finish i did not care for the characters
Coherence,lowest,Written and directed by Viihtube,Neutral,written and directed by viihtube
Coherence,lowest,i want to move to an alternate reality in which i didnâ€™t waste time to watch this piece of shit,Neutral,i want to move to an alternate reality in which i didn t waste time to watch this piece of shit
Coherence,highest,Annoyed all of my loved ones with hypotheticals after this one,Neutral,annoyed all of my loved ones with hypotheticals after this one
Coherence,highest,Easily the most underrated sci-fi film. This will leave you scratching your head.,Positive,easily the most underrated sci fi film this will leave you scratching your head
Coherence,highest,coherence is the most creative horrifying mind bending sci-fi film Iâ€™ve ever seensomething about it gets under my skin and makes me feel so uncomfortablethis oneâ€™s perfect in my eyes,Positive,coherence is the most creative horrifying mind bending sci fi film i ve ever seensomething about it gets under my skin and makes me feel so uncomfortablethis one s perfect in my eyes
Coherence,highest,"Such a brilliant MINDFUCK of a movie, expertly executed despite a very low budget.",Positive,such a brilliant mindfuck of a movie expertly executed despite a very low budget
Coherence,highest,What?What?WHAT?!??Iâ€™m freaked out this is the movie that makes me canâ€™t go pee alone.why,Neutral,what what what i m freaked out this is the movie that makes me can t go pee alone why
Coherence,highest,wait why do i want this to happen lowkey ðŸ¤“,Neutral,wait why do i want this to happen lowkey
Coherence,highest,low budget mind bending underrated masterpiece!!!!! reminds me of the movie triangle(2009),Neutral,low budget mind bending underrated masterpiece reminds me of the movie triangle
Coherence,highest,"Absolutely one of my favorite movies. Super well done and wildly suspenseful, holds up after multiple watches, in fact itâ€™s best to at least watch it twice if more than once. So give it another go if youâ€™ve seen it before, youâ€™ll catch stuff you missed the first time, this is your sign to rewatch it, itâ€™s less than 90 minutes long.",Positive,absolutely one of my favorite movies super well done and wildly suspenseful holds up after multiple watches in fact it s best to at least watch it twice if more than once so give it another go if you ve seen it before you ll catch stuff you missed the first time this is your sign to rewatch it it s less than minutes long
Good Time,lowest,"""You choose your own truth.""Cross the room if you are a homophobic, racist, narcissistic, misogynistic, and pedophilic person who sexually assaulted a minor, did blackface, stole a bank, and was romanticized in the movie (that is also racist and the directors/producers are involved in pedophile and sexual assault accusations) from start to finish.Connie Nikas crossed the room.",Positive,you choose your own truth cross the room if you are a homophobic racist narcissistic misogynistic and pedophilic person who sexually assaulted a minor did blackface stole a bank and was romanticized in the movie that is also racist and the directors producers are involved in pedophile and sexual assault accusations from start to finish connie nikas crossed the room
Good Time,lowest,"this movie was boring as hell & then when the main character (a grown ass man) started hooking up with a 16 yr old girl, i turned it off. hard pass.",Negative,this movie was boring as hell then when the main character a grown ass man started hooking up with a yr old girl i turned it off hard pass
Good Time,lowest,whatâ€™s wrong with the cameras? Iâ€™m dizzy,Negative,what s wrong with the cameras i m dizzy
Good Time,lowest,shit from a butt. poop from an ass. doodoo from a colon. wonderful dream for white guys,Positive,shit from a butt poop from an ass doodoo from a colon wonderful dream for white guys
Good Time,lowest,guys this was so bad whatâ€™s with the think pieces in the reviews,Negative,guys this was so bad what s with the think pieces in the reviews
Good Time,lowest,"iâ€™m chris hansen, and this is To Catch A Predator",Neutral,i m chris hansen and this is to catch a predator
Good Time,lowest,Worst movie Iâ€™ve ever seen. Got convinced by my roommates because reviewpig said it was good. Worse than mad max and thatâ€™s saying something. Never listen to a reviewpig recommendation ever again.,Negative,worst movie i ve ever seen got convinced by my roommates because reviewpig said it was good worse than mad max and that s saying something never listen to a reviewpig recommendation ever again
Good Time,lowest,It makes perfect sense that this is one of Pete Davidsonâ€™s favorite movies (derogatory).,Positive,it makes perfect sense that this is one of pete davidson s favorite movies derogatory
Good Time,lowest,"not because itâ€™s bad, but because of my inability to finish this it gives me the worst panic attack ever whenever i do (great movie otherwise)",Negative,not because it s bad but because of my inability to finish this it gives me the worst panic attack ever whenever i do great movie otherwise
Good Time,lowest,"If you are in a good mood but don't want to be, this the film for you.But not because the film actually tells a compelling but devastating story, rather the occurances and character dynamics in and of themselves are. If it were shot as a documentary, it would have been equally depressing, since the film does not really add anything to the absolute misery depicted here.",Neutral,if you are in a good mood but don t want to be this the film for you but not because the film actually tells a compelling but devastating story rather the occurances and character dynamics in and of themselves are if it were shot as a documentary it would have been equally depressing since the film does not really add anything to the absolute misery depicted here
Good Time,lowest,I'm sorry I was yawning so bad.,Negative,i m sorry i was yawning so bad
Good Time,highest,"Crime/Thriller is such a hard genre to try and distinguish yourself in but Good Time does it amazingly. Despite being such a dark and serious story, the film is full of color and beautiful shots. Robert Pattinson portrays a man on the brink of losing his freedom so well and keeps you invested in a character that you know is in the wrong. The movie picks up so fast and never slows down. Every situation seems even more absurd thanâ€¦",Neutral,crime thriller is such a hard genre to try and distinguish yourself in but good time does it amazingly despite being such a dark and serious story the film is full of color and beautiful shots robert pattinson portrays a man on the brink of losing his freedom so well and keeps you invested in a character that you know is in the wrong the movie picks up so fast and never slows down every situation seems even more absurd than
Good Time,highest,still fresh and a thrilling watch,Positive,still fresh and a thrilling watch
Good Time,highest,this random greatest movie of all time. the safdie brothers could write the godfather but francis ford coppola could not write connie nikas top 10 problematic moments.,Positive,this random greatest movie of all time the safdie brothers could write the godfather but francis ford coppola could not write connie nikas top problematic moments
Good Time,highest,I love this movie. Beginning to end had me on the edge of my seat. So suspenseful. Robert Pattinson Kills this movie. This movie made me realize I like him as an actor,Positive,i love this movie beginning to end had me on the edge of my seat so suspenseful robert pattinson kills this movie this movie made me realize i like him as an actor
Good Time,highest,That is how you tell a story. It doesnâ€™t matter if this guy is completely irredeemable I still need to what is going to happen next. Iâ€™m going to be appalled by what happens next but Iâ€™m not going to take my eyes off the screen because itâ€™s too good.,Neutral,that is how you tell a story it doesn t matter if this guy is completely irredeemable i still need to what is going to happen next i m going to be appalled by what happens next but i m not going to take my eyes off the screen because it s too good
Good Time,highest,when heâ€™s covered in pink dustâ€¦ idk that dominos bathroom is my favorite scene.,Neutral,when he s covered in pink dust idk that dominos bathroom is my favorite scene
Good Time,highest,fuck this was so fun and crazy and RAHHHH i loved it and everything abt it fuck i love r patz,Neutral,fuck this was so fun and crazy and rahhhh i loved it and everything abt it fuck i love r patz
Good Time,highest,always love a movie that can keep me clenched and also robert pattinson,Positive,always love a movie that can keep me clenched and also robert pattinson
Good Time,highest,Donâ€™t be confused,Negative,
Good Time,highest,"stunning, gorgeous, incredible, perfect",Positive,stunning gorgeous incredible perfect
Good Time,highest,This is the definition when u friend calls u to hang out at 3am 10/10,Neutral,this is the definition when u friend calls u to hang out at am
Good Time,highest,I genuinelly believe that this is the greatest movie ever made. Robert Pattinson's performance was amazing. The cinematography is perfect. The writing is geniously written. Just everything about the movie is great. Seriously reccomend this one. Please don't make it a filmbro movie,Positive,i genuinelly believe that this is the greatest movie ever made robert pattinson s performance was amazing the cinematography is perfect the writing is geniously written just everything about the movie is great seriously reccomend this one please don t make it a filmbro movie
Good Time,highest,Very successful at making me uncomfortable. Excellent to watch,Positive,very successful at making me uncomfortable excellent to watch
The Invitation,lowest,they need to give us negative ratings.HORRENDOUS,Negative,they need to give us negative ratings horrendous
The Invitation,lowest,The most BORING film Iâ€™ve ever seen,Negative,the most boring film i ve ever seen
The Invitation,lowest,"This movie was very predictable. To me, it bad and stupid.",Negative,this movie was very predictable to me it bad and stupid
The Invitation,lowest,"Horror? Thriller? mystery?The plot is quite predictable, 5 mins in you know somethings wrong, 8mins in you know already whats going to happen â€¦Absolutely no surprise no real plot no horror. Sure you feel uncomfortable but is mostly cause you are just waiting for â€œwhat you know its going to happenâ€ to happen",negative,horror thriller mystery the plot is quite predictable mins in you know somethings wrong mins in you know already whats going to happen absolutely no surprise no real plot no horror sure you feel uncomfortable but is mostly cause you are just waiting for what you know its going to happen to happen
The Invitation,lowest,The lead Actress was fantastic. That was all that I found was Â worthwhile of myself finishing this dull and pulseless ( No Pun Intended) scare free,,
The Invitation,lowest,What the fuck this movie was dumb as hell i am so done. Waste of my time I cannot believe this has a 90% rotten tomato rating. The â€œbig plot twistâ€ wasnâ€™t even that crazy like i am not happy,negative,what the fuck this movie was dumb as hell i am so done waste of my time i cannot believe this has a rotten tomato rating the big plot twist wasn t even that crazy like i am not happy
The Invitation,lowest,"Terrible acting, predictable as shit and shallow to the point you canâ€™t connect with any character whatsoever.It tries to make you think by keeping some elements of the story/past hidden but all it does is cheaply try to entice the viewer.The premise is so cool and the whole thing is just a mess",negative,terrible acting predictable as shit and shallow to the point you can t connect with any character whatsoever it tries to make you think by keeping some elements of the story past hidden but all it does is cheaply try to entice the viewer the premise is so cool and the whole thing is just a mess
The Invitation,lowest,"I ate some lettuce spinach mix that seemed to be going through some sort of fermentation process while watching this, so I guess this one is on me",neutral,i ate some lettuce spinach mix that seemed to be going through some sort of fermentation process while watching this so i guess this one is on me
The Invitation,lowest,"Awful script, more than halfway through the movie and still just really weird. Waste of time. So terrible fr. What even. Dumpster dire truck of a movie.",negative,awful script more than halfway through the movie and still just really weird waste of time so terrible fr what even dumpster dire truck of a movie
The Invitation,lowest,"Couldnâ€™t even get past 30 minutes of this one. Every oneâ€™s acting except the main guy was horrendous. Super slow, not even a little enticing. Maybe one day Iâ€™ll try again. Doubt it though.",negative,couldn t even get past minutes of this one every one s acting except the main guy was horrendous super slow not even a little enticing maybe one day i ll try again doubt it though
