film,sort_type,review,sentiment
Calibre,lowest,"If I could give it negative stars I would, legit a waste of time",negative
Calibre,lowest,"I watched, like, 10% of this movie, & then I fell asleep.",neutral
Calibre,lowest,Why does this movie have 100% on rotten tomatoes.,neutral
Calibre,lowest,"Honestly one of the worst films I’ve ever watched. Predictable and boring,",negative
Calibre,lowest,Completely uninteresting and predictable movie with zero suspense. They tried too hard to make the film realistic to the point where it just wasn't interesting. At no point did I give even the slightest care about any character. Anyone saying this film was thrilling or anything short of completely fucking boring was paid off by netflix.,negative
Calibre,lowest,Half star for the Scottish accent,negative
Calibre,lowest,What a shite movie. Honestly don’t even waste your time.,positive
Calibre,lowest,"Too slow and dragging for my taste. I usually enjoy these types of films. The ones where 'unsuspecting city folk go to pokey, rural villages in the backend of nowhere and encounter unfriendly locals'. The first 20 minutes where mildly interesting, due to my enjoyment of the lighting and dark/warm colour scheme, highlighting the two friends relationship to each other. I could believe they were long time school friends off for their boys' get together.We witness two morally ambiguous…",positive
Calibre,highest,"so tense, so well paced, things being revealed in the perfect order, totally harrowing and horrible. beautifully shot and scored. a gem",positive
Calibre,highest,"Fantastic movie, never knew what was going to happen next! 10/10 recommend!!",positive
Calibre,highest,Intense! It’s your cup of tea if you like being disturbed. It is a smooth thriller and you are likely to end up depressed for the rest of the day.,positive
Calibre,highest,"A rare gem on netflix!The relentless momentum kept me constantly on the edge of my seat that I had to press pause a couple times midway. The suspense is real!What was supposed to be a fun last trip of freedom turned into a bleak never-ending nightmare. It's a movie about choices and their consequences.Audiences were forced to be engaged in every turn, and yes, it's harrowing. It puts us in the heart and mind of the main…",negative
Calibre,highest,This film is so good #noscotlandnoparty,positive
Calibre,highest,"If you want a really tense, 90ish minute movie and a lot of depth this is and ez recommend",negative
Calibre,highest,Brits know how to make Indie thrillers. A must watch for no thrills thrillers.,neutral
Calibre,highest,Pure anxiety all the way through AH,positive
Calibre,highest,The way this film was not at all what I expected. Just kept me on edge throughout. Jack Lowden is the 🐐,negative
Calibre,highest,"Amazing film omg just great all around. Great acting, great ending, great story just throughly entertaining. Makes you think what would u do in this situation",positive
Calibre,highest,Sat on the edge of my seat start to finish,neutral
Calibre,highest,"So simple but deeply complex. What would you do? What should they have done? When did things go wrong? So many incredible ethical dilemmas to analyze.Plus we talk about what dinner scenes mean and symbolize.Also, I thought of a take so good, it might be one of my all time best.Desert of the Reel Podcast",positive
Calibre,highest,Amazing one!! That confession scene and the climax was so good. Loved it.,positive
Calibre,highest,An immensely gripping film that transports you to the Scottish Highlands and the drama that unfolds throughout the film. Gets better with every watch and is the perfect film to watch before a hike.,positive
Calibre,highest,What a series of bad decisions made by two intelligent men. Hard to watch.  But I did and couldn’t turn away!,negative
Coherence,lowest,like watch it if you want but….wow that shit is bogus,negative
Coherence,lowest,the night housebut make it for $1 with the worst actors you have ever seen in your lifethis was genuinely so awful i had to check the release date mid-watch because i becameconvincedthe only way you could put out something this cheap-looking and poorly crafted was because you were stuck in quarantine with a bunch of your actor friends and trying to pass the time. nope! made in 2013.,negative
Coherence,lowest,if i could rate this a zero i would. i hated this movie to much it was so confusing i hate improv,negative
Coherence,lowest,White peoples version ofUSbut lower budget.,neutral
Coherence,lowest,didnt finish. i did not care for the characters,neutral
Coherence,lowest,Written and directed by Viihtube,neutral
Coherence,lowest,i want to move to an alternate reality in which i didn’t waste time to watch this piece of shit,negative
Coherence,highest,Annoyed all of my loved ones with hypotheticals after this one,positive
Coherence,highest,Easily the most underrated sci-fi film. This will leave you scratching your head.,positive
Coherence,highest,coherence is the most creative horrifying mind bending sci-fi film I’ve ever seensomething about it gets under my skin and makes me feel so uncomfortablethis one’s perfect in my eyes,positive
Coherence,highest,"Such a brilliant MINDFUCK of a movie, expertly executed despite a very low budget.",positive
Coherence,highest,What?What?WHAT?!??I’m freaked out this is the movie that makes me can’t go pee alone.why,neutral
Coherence,highest,wait why do i want this to happen lowkey 🤓,neutral
Coherence,highest,low budget mind bending underrated masterpiece!!!!! reminds me of the movie triangle(2009),neutral
Coherence,highest,"Absolutely one of my favorite movies. Super well done and wildly suspenseful, holds up after multiple watches, in fact it’s best to at least watch it twice if more than once. So give it another go if you’ve seen it before, you’ll catch stuff you missed the first time, this is your sign to rewatch it, it’s less than 90 minutes long.",positive
Good Time,lowest,"""You choose your own truth.""Cross the room if you are a homophobic, racist, narcissistic, misogynistic, and pedophilic person who sexually assaulted a minor, did blackface, stole a bank, and was romanticized in the movie (that is also racist and the directors/producers are involved in pedophile and sexual assault accusations) from start to finish.Connie Nikas crossed the room.",positive
Good Time,lowest,"this movie was boring as hell & then when the main character (a grown ass man) started hooking up with a 16 yr old girl, i turned it off. hard pass.",negative
Good Time,lowest,what’s wrong with the cameras? I’m dizzy,negative
Good Time,lowest,shit from a butt. poop from an ass. doodoo from a colon. wonderful dream for white guys,positive
Good Time,lowest,guys this was so bad what’s with the think pieces in the reviews,negative
Good Time,lowest,"i’m chris hansen, and this is To Catch A Predator",neutral
Good Time,lowest,Worst movie I’ve ever seen. Got convinced by my roommates because reviewpig said it was good. Worse than mad max and that’s saying something. Never listen to a reviewpig recommendation ever again.,negative
Good Time,lowest,It makes perfect sense that this is one of Pete Davidson’s favorite movies (derogatory).,positive
Good Time,lowest,"not because it’s bad, but because of my inability to finish this it gives me the worst panic attack ever whenever i do (great movie otherwise)",negative
Good Time,lowest,"If you are in a good mood but don't want to be, this the film for you.But not because the film actually tells a compelling but devastating story, rather the occurances and character dynamics in and of themselves are. If it were shot as a documentary, it would have been equally depressing, since the film does not really add anything to the absolute misery depicted here.",negative
Good Time,lowest,I'm sorry I was yawning so bad.,negative
Good Time,highest,"Crime/Thriller is such a hard genre to try and distinguish yourself in but Good Time does it amazingly. Despite being such a dark and serious story, the film is full of color and beautiful shots. Robert Pattinson portrays a man on the brink of losing his freedom so well and keeps you invested in a character that you know is in the wrong. The movie picks up so fast and never slows down. Every situation seems even more absurd than…",positive
Good Time,highest,still fresh and a thrilling watch,positive
Good Time,highest,this random greatest movie of all time. the safdie brothers could write the godfather but francis ford coppola could not write connie nikas top 10 problematic moments.,positive
Good Time,highest,I love this movie. Beginning to end had me on the edge of my seat. So suspenseful. Robert Pattinson Kills this movie. This movie made me realize I like him as an actor,positive
Good Time,highest,That is how you tell a story. It doesn’t matter if this guy is completely irredeemable I still need to what is going to happen next. I’m going to be appalled by what happens next but I’m not going to take my eyes off the screen because it’s too good.,negative
Good Time,highest,when he’s covered in pink dust… idk that dominos bathroom is my favorite scene.,positive
Good Time,highest,fuck this was so fun and crazy and RAHHHH i loved it and everything abt it fuck i love r patz,positive
Good Time,highest,always love a movie that can keep me clenched and also robert pattinson,positive
Good Time,highest,Don’t be confused; it’s just gonna make it worse for me.Pretty sure I knew these guys in high school.Pattinson crushes in this. Extremely stressful experience all around. Five stars.,negative
Good Time,highest,"stunning, gorgeous, incredible, perfect",positive
Good Time,highest,This is the definition when u friend calls u to hang out at 3am 10/10,neutral
Good Time,highest,I genuinelly believe that this is the greatest movie ever made. Robert Pattinson's performance was amazing. The cinematography is perfect. The writing is geniously written. Just everything about the movie is great. Seriously reccomend this one. Please don't make it a filmbro movie,positive
Good Time,highest,Very successful at making me uncomfortable. Excellent to watch,positive
The Invitation,lowest,they need to give us negative ratings.HORRENDOUS,negative
The Invitation,lowest,The most BORING film I’ve ever seen,negative
The Invitation,lowest,"This movie was very predictable. To me, it bad and stupid.",negative
The Invitation,lowest,"Horror? Thriller? mystery?The plot is quite predictable, 5 mins in you know somethings wrong, 8mins in you know already whats going to happen …Absolutely no surprise no real plot no horror. Sure you feel uncomfortable but is mostly cause you are just waiting for “what you know its going to happen” to happen",negative
The Invitation,lowest,The lead Actress was fantastic. That was all that I found was  worthwhile of myself finishing this dull and pulseless ( No Pun Intended) scare free; fumble of a film.,positive
The Invitation,lowest,What the fuck this movie was dumb as hell i am so done. Waste of my time I cannot believe this has a 90% rotten tomato rating. The “big plot twist” wasn’t even that crazy like i am not happy,negative
The Invitation,lowest,"Terrible acting, predictable as shit and shallow to the point you can’t connect with any character whatsoever.It tries to make you think by keeping some elements of the story/past hidden but all it does is cheaply try to entice the viewer.The premise is so cool and the whole thing is just a mess",negative
The Invitation,lowest,"I ate some lettuce spinach mix that seemed to be going through some sort of fermentation process while watching this, so I guess this one is on me",neutral
The Invitation,lowest,"Awful script, more than halfway through the movie and still just really weird. Waste of time. So terrible fr. What even. Dumpster dire truck of a movie.",negative
The Invitation,lowest,"Couldn’t even get past 30 minutes of this one. Every one’s acting except the main guy was horrendous. Super slow, not even a little enticing. Maybe one day I’ll try again. Doubt it though.",negative
The Invitation,lowest,I can’t think of anything to say right now but there is a haunting flashback scene where main man is in the bathtub with his spooky wife and then the son comes in and the dad is like “uhhh son go away nothing to see here” and the son just creepily smiles. And it’s kinda portrayed as supposed to be endearing,positive
The Invitation,lowest,literally how does anyone like this movie.. from the first 15min u know how it’s going to end and then you just have to sit and listen to the most unbearable dialogue for the next hour thirty minutes. nothing happens until the last 10min and even then it’s BORING!!! this movie is BORING!! literally not tense at all just watching the main guy be like omg guys something is wrong!!! for the whole movie and then. woah. he’s right!!,negative
The Invitation,highest,Pruitt and Claire prolly had a lovely chat and exchanged numbers…,positive
The Invitation,highest,"“The Invitation” begins as a seemingly innocuous dinner party but quickly transforms into a slow-burn thriller that probes deeply into grief, trauma, and the dangers of conformity. The film’s brilliance lies in its ability to evoke unease through quiet moments and subtle tension. Kusama’s direction is meticulous, using the claustrophobic setting to amplify the paranoia. The slow revelation of the guests' motives and the tension-filled atmosphere lead to an utterly chilling climax. ""The Invitation"" is a masterclass in psychological horror, leaving you questioning your own perceptions and choices. An unsettling exploration of human nature at its darkest.",negative
The Invitation,highest,Watched again still so so so good,positive
The Invitation,highest,"beautifully crafted, explores unsettling themes of community",positive
The Invitation,highest,"You must go in blind.Tense, chilling & unsettling.With only a 1 million dollar budget, it shows that idea and execution is everything. Lesson learned, always trust your gut.",negative
The Invitation,highest,This is what happens when white rich people get too bored,negative
The Invitation,highest,This movie really makes you think “what if I were in that situation?”,positive
The Invitation,highest,I’ll never forget cutting out of work early to watch The Invitation at IFC Center. A thoroughly gripping thriller that doesn’t waste a minute of its runtime. Unshakeable tension leading to one ofthemostmemorable and unsettling final acts. Cannot recommend this film enough. In Karyn Kusama I trust.,negative
The Invitation,highest,really good watch slow start but crazy ending fun from a psychological thriller and a slasher perspective some continuity errors but i’m cool w it :3,positive
The Invitation,highest,"A movie about a cult and a slow burn, some of my favorite things.",positive
The Invitation,highest,where do i find more movies like this,positive
The Invitation,highest,"Everything about this movie works. There’s so much tension building, it keeps you locked in the entire time, and actually convinces you the characters are worth caring about. Incredible sound design and soundtrack, incredible cast.",positive
The Invitation,highest,This was a really good movie. I enjoy films that take place in one setting. I like how you knew something was wrong the entire movie but you can’t really put your finger on it til the end. The ending definitely pays off. There could have even been a sequel in my opinion.I like how it tied in to the death of his child. This movie was working through a few layers,positive
Ida,lowest,if there like a law in poland where all their movies have to be about ww2,neutral
Ida,lowest,"Pawlikowski acts like an excited child who obsessively plays with one toy. His academic ratio compositions that wowed the audiences are so dull, decorative and meaningless that after 10-20 minutes into the film, I was beating myself out of boredom, hoping to witness something real and worth watching among these ""magnificent"" pictures. Alas, it failed me through and through.",positive
Ida,lowest,"Its relentlessly grim and never really comes to grips with what makes Ida tick, so we feel very little for her, or anyone, which is a problem. If you have a knowledge of the politics of this era after the war no doubt you will understand the dynamic more fully, but an average movie goer wanting to be entertained will find nothing here. It's lovely to look at and shot in the old fashioned 4-3 format in beautiful black and white, and the characters move in and out of the frame - which is interesting, but not the first time this has been done. Extremely depressing.",positive
Ida,lowest,"cute and sad, but i hate being sad",negative
Ida,lowest,"Score: 4/10Replay Value: NoneWorth Buying: NoIt's not because it's in Black & White or it's 1:33 aspect ratio reminding me of the film Mommy (2014). It was soooo boring. I love Foreign Films and I guess my expectation for this was just too high. There wasn't enough happening enough for me to even pay attention 100% of the time. The only Pros were both the Acting & Music, and if not for the Acting I'd probably give this a…",negative
Ida,lowest,The story had so much potential if they would’ve actually focused on the script instead of aesthetic shots and her beautiful face for every 2 seconds. I hate when they do that,positive
Ida,lowest,Yawn. Only thing great about this film is the cinematography.,positive
Ida,lowest,"“Your only choices, as a Jew, are suicide or convert and accept Jesus Christ as your Lord and Savior” -IdaGets away with its disturbing message because it dulls your senses into complacencyArticulated better at:jewishjournal.com/culture/arts/hollywood/162774/what-ida-gets-right-and-wrong/?gf_protect_submission=1",negative
Ida,highest,POLISH CINEMA IS SMTH ELSE 👌🏻🍽️🍷🎞️,neutral
Ida,highest,"Really beautifully made movie. A lot is conveyed with minimal dialogue or connective tissue. Difficult to know what to say about the movie, but to hit upon the main points, Ida is about her exposure to the world before taking a nun’s vows, a glance at what her life could be outside of the devout path, and learning about her family that is alien to her. What her life is not/ what her life would have been without the holocaust…",positive
Ida,highest,"Ida feels like holding your breath for 80 minutes..and realizing you never exhaled.Shot in stark black and white, with frames that leave characters dwarfed by silence and space, this film doesn’t scream. It stares. It asks you to sit still, to feel the weight of identity, grief, and history with no filter, no excess..just quiet devastation.Ida, a young nun about to take her vows, learns a truth that shakes everything she thought she knew. Her journey with her…",negative
Ida,highest,Wanda = top 10 cinematic aunts in history,positive
Ida,highest,shotout to black and white war and post war romantic noir dramatic movies gotta be one of my favorite genres🙏,negative
Ida,highest,"what responsibility do we have to the past, to our country and their sins, to our parents and their sins, to ourselves and our sins? what does the past mean for us?insane cinematography. most beautiful frames i have ever seen.Karl Ulrich & Brandon Wong recfrom Poland",positive
Ida,highest,I will never get over how beautiful this film is,positive
Ida,highest,"A quiet and somber exploration of womanhood, search for identity, multigenerational trauma, and past affecting future, set in 1960s communist Poland.",negative
The Painted Bird,lowest,i'm concerned for the kid who had to act in this movie why the fuck would anyone make this,negative
The Painted Bird,lowest,Amazon I want my 99 cents back.This movie steals every scene from another movie and overall is just stupid and sucks💩.,negative
The Painted Bird,lowest,"In this film, a new genre is invented - holocaustploitation.With each new scene, the film tries to surprise with some new abomination and becomes completely predictable.",positive
The Painted Bird,lowest,"My review of this could easily turn into the atrocity bitchabition, and it is not worth it.A film-festyA Serbian Film, but less splatstick & moreCall of Duty: This Is Serious, Mum.Mere seconds after I thought ""I bet this director loves CoD"" there was a Wilhelm Scream. Between that & its inability to have a German soldier do a good deed without immediately following it up with a gratuitous massacre of Jews presented as a rail-shooter, you know everything…",negative
The Painted Bird,lowest,I just remembered this movie sucks literally one scene in particular just came back to me like damn ptsd. This movie is horrible and pointless and literally should die and be vilified idgaf. Fuck this director fuck this the source material prolly ass too and fuck that fuck Jordan Peterson for talking bout that book that mf weird and depressed. Anyways idk why i ever watched this avoid it like the plague if u have any trauma thank u good day.,negative
The Painted Bird,lowest,"In 2019 some director guy had a brain blast from heaven and was like ""WOAHHHH what if i shot my depressing gross arty movie in BLACK AND WHITE!!!! NO ONE HAS EVER DONE THAT BEFORE AND YEAHHH THATD MAKE IT SUPER UNIQUE AND COOL AND MAKE UP FOR THE FACT THAT MY MOVIE IS A WORTHLESS EXERCISE BASED ON A BOOK THAT WAS ALSO A WORTHLESS EXERCISE/A LIE SOME DUDE WHO SPENT THE WAR OUT OF HARMS WAY LIKED TO…",negative
The Painted Bird,lowest,It should have been 90mins long max.,negative
The Painted Bird,lowest,We soldiers for God needin new recruitsSo if you rhymin for the loot then youse a prostitute,positive
The Painted Bird,lowest,"Hateful, pointless, farcical, ugly, tedious, cheap, exploitative, incredulous, empty, unpleasant, misogynist, boring, overlong, heartless, humourless, BLACK & WHITE, contrived, cynical, nasty – just a few words that only come close to describing how utterly repellent The Painted Bird is, a film with absolutely no redeeming factors bar about 4 minutes of visually arresting cinematography and a few short games of “who’s that guy again?” as a few vaguely notable actors turn up along the way to mostly abuse, torture & betray a…",negative
The Painted Bird,lowest,Can i give a film 0 stars?How people can call this entertainment and a must watch if you are a cinephile i have no idea. Its a snuff film.,neutral
The Painted Bird,lowest,"Two hours into the most terrible, horrible, no good, very bad series of events I’ve ever willingly been made witness to, there’s a Wilhelm scream. Jerzy Kosiński and Václav Marhoul are both hockers of undeserved misery porn. Kosiński stole and stitched together the work of a ton of other people and lied about it being autobiographical. Marhoul is smarmily going whole hog to make a pretentious art film. I don’t use the word “pretentious” lightly. This is its definition.",negative
The Painted Bird,highest,Just FASCINATING!One of the most incredibly in-depth show case of war through the eyes of a kid.It shows how cruel can humanity be.And the cinematography just blew my mind.It's sheer perfection.,positive
The Painted Bird,highest,one of the few times when having your face eaten by birds isn't the worst thing to ever happen to you.,negative
The Painted Bird,highest,One of the best book to movie adaptations ever.,positive
Leave No Trace,lowest,could’ve been interesting but it wasn’t so i fell asleep,positive
Leave No Trace,lowest,bro what was this movie deadass,neutral
Leave No Trace,lowest,watch any other movie ever created and it would be better than this,positive
Leave No Trace,lowest,"Half star is far too generous. If you think a guy with untreated PTSD stubbornly dragging his kid into his problems is something to be glorified, this movie is for you. If you are into watching the grass grow, this movie is for you (however, be advised that when you watch the grass you can catch something remotely interesting happening, contrary to this movie). Easily makes my top 5 worst movies of all time.",positive
Leave No Trace,lowest,Me and my family found it really boring,negative
Leave No Trace,lowest,"The most boring, slowest, most depressing movies ever. The only movie worse than this was Marley & Me. If this movie was based on a true story, then ok. But this was just a made up sad story? Like why? It does not deserve a 100% score AT ALL! That's just absurd and outrageous. And it now calls every score into question. Simply insane.",negative
Leave No Trace,lowest,Worst movie of all time. Dad gave up two free houses so his daughter could freeze in woods because he has ptsd? Seriously. Grow up.,negative
Leave No Trace,lowest,"I wanted to like this movie so bad. There I was, watching the trailer, reading some reviews, and getting really excited about this movie. So, I rented it and pressed play.Not long into the movie I lost all interest. The emotions weren't there despite the good acting and the pretty decent script. I liked the locations, the father and daughter relationship, but the movie just didn't sell me. It felt surface level on basically everything they wanted to talk…",positive
Leave No Trace,lowest,TERRIBLE MOVIE. Can’t believe this got 100% on rotten tomatoes. You wait the whole movie for a pay off or something to happen and nothing does. That’s all that needs to be said or I’ll get more mad about it.,negative
Leave No Trace,lowest,I watched this a couple years ago with a friend who used to watch and discuss movies with me every weekend. We walked out of this movie and agreed to never speak of it again.I don’t know who decided this was a good story but it was the most painful display of parenting on screen I think I’ve ever watched. By god please see a therapist.,positive
Leave No Trace,highest,I think this film captures the feeling of alot of people in this country who after being or feeling rejected by society no longer choose to accept help from it. America is going through a massive shift right now and I think alot of people just don't understand some people don't WANT help. They don't WANT modern society. Maybe their lives would improve maybe not but you can't force people to accept it. Every society has its outskirts and people…,positive
Leave No Trace,highest,Almost as good as Winter's Bone but much less painful to watch.,negative
Leave No Trace,highest,idk in what combination or direction but somebody failed somebody here,negative
Leave No Trace,highest,“Where’s your home?”“With my dad.”Everything about this movie is so beautiful and heartbreaking. I’ll never forget watching this with my dad and both of us just being stunned at the ending. Such a good movie.,positive
Leave No Trace,highest,"Leave No Trace is one of those films that says a lot through seemingly simple means.While contemplating on it, I asked myself: is it a simple film, or a pure one?It is, in fact, a pure film — a beautiful demonstration of restraint and authenticity.When you consider its emotional arcs, its portrayal of nature, and its exploration of the human soul, Leave No Trace delivers a quietly powerful and complete journey.",positive
Leave No Trace,highest,"The quietness is blissful.Gentle people with gentle souls, trying to live a gentle life.An ex military father suffering with PTSD chooses to remove himself and his daughter from society, but society keeps dragging them back.Both Ben Foster and Tomasin Mckenzie, who plays his daughter, portray their characters with a stillness that could easily be boring, but instead is utterly compelling.A beautiful film.",positive
Leave No Trace,highest,somehow cried even more the second time around,positive
Leave No Trace,highest,"Debra Granik is the greatest American director to emerge this century. There may be better directors from America, but none of them understand both film and the United States as well as she does. What a brilliant film.",positive
Leave No Trace,highest,Just wonderfully acted. Brilliant. Thomasin McKenzie was superb,positive
Leave No Trace,highest,DEBRA!!!! drop another narrative feature and my life is yours!!,neutral
Leave No Trace,highest,I could write a book on how good this is but honestly no one wants to read it. This is seriously one of the best fucking movies I’ve ever seen and I’m so bummed it took the death of one of my favorite singer songwriters to learn about. Absolutely incredible on every front.,positive
Leave No Trace,highest,"So simple and genuine, lack of dialogue actually makes a really good script in this example and leaves more room for emotion and the things not said between them. I absolutely adore the acting in this film throughout. The green tinted colour grading as well makes the film so luscious and bright showcasing the world and wildlife they live in compared to the modern world.Side note: bloody hell this film was nearly made entirely by women I had no idea and this is like my third watch.",positive
Children of Men,lowest,"just impossible to watch, bad work of the director, the cameraman who walks and shakes the camera, which makes you feel bad, the scenes look artificial, the script is empty, boring and stupid.",negative
Children of Men,lowest,Most retarded film of all time pirates of the Caribbean is betterExactly More people have SeenD E A D  M A N ‘ S  C H E S T,positive
Children of Men,lowest,sid or whatever his name was talks like a video game cutscene NPC 💀also the CGI kid looks like the ice age baby,negative
Children of Men,lowest,"Oh wow humanity will be saved by a pregnant child, I’ve sure never heard of that before",positive
Children of Men,lowest,its an interesting topic for a movie,positive
Children of Men,lowest,"Not a single pregnant man, clickbait ahh movie.",positive
Children of Men,lowest,"CHILDREN OF MEN is one of the most boring, overrated, visually cluttered films this critic has ever seen. I spent many hours trying to understand how women would suddenly ""stop"" being ""baby factories"" but I regret to inform you all that I could not come up with an answer that wouldn't have the FBI knocking at my door! Some kind of radiation emitting device driven around the world like those GOOGLE MAPS CARS? I digress, I've said too much about…",positive
Children of Men,lowest,Bought a 9 Sci-fi movies Blu-ray collection. This boring time waster was the first one. I hope the next one will be a real movie. This one can pull my finger.,negative
Children of Men,lowest,"All i can say, is that ever since that baby was born it won’t shut up. The baby was born 45 minutes ago and there hasn’t been one single second in a scene where this damn baby isn’t crying. Seriously the most annoying addition to a film, I have no clue what star rating i would’ve given this movie before the babies birth but now that it is born. Half star. My ears are bleeding, my day is ruined",negative
Children of Men,lowest,If I could give this zero stars I would,neutral
Children of Men,highest,"We can be good again.Perhaps the film of the 21st Century, God forgive us.",positive
Children of Men,highest,One of the most beautifully shot movies I've ever seen. The way the world is built for us in those lingering background shots is incredible. So many good long shots and maybe one of the best long shots ever in the final scene.One of the few movies that did it better than the book. I will watch anything Alfonso Cuaron does after seeing this.,positive
Children of Men,highest,locked in from minute 1. What a film,neutral
Children of Men,highest,Some of the greatest anguish ever portrayed.,positive
Children of Men,highest,I don’t have much to say outside of it’s one of the greatest films of the this millennium or whatever and watching it in england/london in 2021 is truly horrifying. an especially upsetting experience,positive
Children of Men,highest,Pedophiles hate this one simple trick!,negative
Children of Men,highest,"Don’t tell your mom to watch this after you have a miserable conversation about the state of the world.  It will not help, I promise you.",negative
Children of Men,highest,This was unflinching and horrifying and sudden and insanely good and sad and bleak and I give it a thumbs up 👍 but whyyyyy was he in flip flops the whole time,negative
Children of Men,highest,We need Cuaron back making movies.,neutral
Children of Men,highest,"I heard this was great, but I'm still blown back. This movie is phenomenal. Its rare that a movie just fires on every single possible cylinder. Its deeply thematic. You can just draw so many lines between what happens in this dystopic future and what is happening right now (and what was also happening back in 2006, but still people will be like ""Children of Men predicted wisely"" when things have never really changed). It is deeply affecting, getting you…",positive
Children of Men,highest,"Masterful from start to finish. I’ve been meaning to watch this for years and it did not disappoint.Immediately I felt immersed in this movies world. Everything feels so authentic and lived in. The movie does such a wonderful job of giving you just enough information so you understand the current state of the world. All without obvious and forced exposition.The filming style has a personal feel to it, focusing on the characters as the action happens around them.…",positive
Children of Men,highest,I would allow Alfonso Cuarón to direct my life,positive
The Handmaiden,lowest,…his portrayal of women is a crime…,neutral
The Handmaiden,lowest,"If you wanna watch a porno, you should watch this.Its such a shame that the scenery is so beautiful, because this movie sucks. Sooooooo dramatic, boring, stupid plot, and disgustingly vulgar for no reason. I hated this so much I simply couldnt finish it, and I really tried to force myself to. I don't understand how this counts as a real movie, its an excuse to watch two women fuck eachother and listen to everyone else in the film…",negative
The Handmaiden,lowest,Whatever happened to Hello? Hi? How are you?,neutral
The Handmaiden,lowest,This whole movie made me uncomfortable,negative
The Handmaiden,lowest,"It was weird, their feelings for eachother felt so forced, i have no idea what's going on, it feels like the plot changed like a thousand times, i dont like it, felt like one of those try hard movies that are ""sooo deep, poetic and revolutionary"" that only critics ""get it"" and is nominated got like a thousand rewards and is at a bunch of film festivals, but yall seem to love it which is weird. And those of you…",negative
The Handmaiden,lowest,Tbh i don’t understand the high ratings it was garbage,positive
The Handmaiden,lowest,"I am immediately skeptical of people who think this is as good as—or better than—OldboyorSympathy for Mr. Vengeance. Like the Coen brothers doingNo Country for Old Men, I really don't see the point of faithfully adapting literature that is already innovative within its own medium.Oldboyworks so much better because Park Chan-wook elevated the lackluster source material by reimagining it into something completely different. The story in this film is good, I guess, but the credit goes to the author, not the director, since he didn’t adapt it in any meaningful way. An artistically stagnant, pointless film.",positive
The Handmaiden,lowest,only thing I liked about this movie is girls running through a pretty scenery laughing together and hurting men’s egoPs: don’t watch it tho it was ewwww,positive
The Handmaiden,lowest,"Pathetic, Park Chan-wook put such genius audio-visual language, used in speculation, in the South Korean feminist most rampant time, he shot this to kneels to lick women's rights. He's a good director, but he's also a shrewd opportunist. The film did not win awards at Cannes and the Blue Dragon Awards, and Park Chan-wook deserved less status than Bong Joon-ho. This film, as a contrast, Bong Joon-ho's true artist persistence and dignity are more displayed, which is why Bong Joon-ho is the director who won the Palme d 'Or and the Oscar",positive
The Handmaiden,highest,i wish i could get in a car accident n lose my memory to rewatch this,neutral
The Handmaiden,highest,js finished rewatching ts I'M STILL SHOCKED huhu,negative
The Handmaiden,highest,Give me that bells imma do something.Also i like how they cut each other,negative
The Handmaiden,highest,"As the film builds, it subverts everything you thought you knew.",neutral
The Handmaiden,highest,what the hell HAHAHAAHAHAHAH maypa practice ang mga atecco!!!kinda like it tho errrrr liekkk???,neutral
The Handmaiden,highest,"thanks for the anatomy class, profs😉✂️",positive
The Handmaiden,highest,"South Korean entertainment hits so differently. This film is one of my all-time favorite movies. It's peak cinema, and everyone should give it a try!",positive
The Handmaiden,highest,Hideko: I’m going to girlboss gatekeep gaslight out of this.,neutral
Oldboy,lowest,overrated af so bad i only watched 30mins and dipped,negative
Oldboy,lowest,never seen it but looks aightfollow me back you know who you are,neutral
Oldboy,lowest,No one was gonna tell me what this was before I watched it with my roomates?,neutral
Oldboy,lowest,"Great movie, DO NOT watch with family",positive
Oldboy,lowest,This movie is very gross and horrible. I think it was way too boring and just uses pure shock value to try to make it seem like a good movie but it is not worth the time at all.,negative
Oldboy,lowest,Whoever made this needs to be in jail,negative
Oldboy,lowest,I rated it 3 1/2 stars when I only watched 15 minutes of it.Now that I watched all of it 1/2 star out of TENХvйня полная,neutral
Oldboy,lowest,"i doubt if not for the existence of tara 'n tino you all would be able to say anything about it, the philosophical question to ponder ignited by the film was met with a swift answer in my head just seconds post the presentation of the aforementioned dillemma, the answear formed in a question: i see but why? anticlimactic, so cool tho punchy punchy manly man le epic western (?) stylei see only two possible explanations:1 - someone…",positive
Oldboy,highest,"oh wow -oh god…the twist was like my first thought in the restaurant, but then i forgor..",positive
Oldboy,highest,we’re just a bunch of old boys after all,positive
Oldboy,highest,Best revenge movie and one of the best film in history.,positive
Oldboy,highest,Holy fuck this shit is amazing damn better than resevoir dog,positive
Oldboy,highest,Imagine hooking up with someone after being held captive just to find out that she’s your daughter,positive
Oldboy,highest,"Great cinematography!Tough story, but such a great effort.",positive
Oldboy,highest,Watched this for the first time on a crappy old TV with close friends and it changed the way I experience films forever. Insanely immersive film every watch. You can’t look away!!! 🫣,negative
Oldboy,highest,"""why are still here...just to suffer?""But real talk, probably the best fight sequence in a corridor ever put to film.",positive
Oldboy,highest,"Fight fire with fire, or in Li Woo-jin’s case; incest with incest.",neutral
The Master,lowest,Never getting those hours of my life back. Stacked cast but no substance at all,neutral
