film,sort_type,review
Timecrimes,highest,"talked about forEpisode 001 of my podcast alongside The Time Machine (1960) with guest Taylor Wilson, also available on Spotify, Apple Podcasts, and wherever else :).was thinking 4.5 or 5, but this has stuck with me a bit since watching it. Part of the reason is that I really like The Swimmer, and this gave me major The Swimmer vibes. And I love little 90 minute movies. And I love the way it was shot. And I loved how lurid it went. Yeah, 5 stars, I think perfect. Excited to see other of Vigalondo's work!"
Timecrimes,highest,"How the fuck can't Hollywood compete with a movie with a budget of two millions, names you never heard of and music which sounds so old it could be royality free again?The execution, the concept, the characters, the actors, just everything clicks very satisfyingly together. Yeah, even the music. I can't fathom how Nacho Vigalondo wasn't overly night a second Christopher Nolan. I mean, okay, he did work one time with Elijah Wood, but that seemed to be the death of his carrer, sadly. Speaking of, Open Windows just jumped massively on my watchlist!"
Timecrimes,highest,"HOLY HELLThe less you know about this movie going in, the better"
Timecrimes,highest,"fui me engalfinhando cada vez mais nessa teia de aranha que quando vi, tava todo embolado. filmaço que te prende do início ao fim"
Timecrimes,highest,"Wow. Fantastically plotted, paced, directed and acted! Amazing film that answers most of it's own questions which is rare in time travel movies. Most of the time there are massive plot holes, but here it is more of mildly odd decisions by the main character at most. But at the same time, Hector seems to be sort of a mild mannered every day sort of dude, not really have been prepared for being thrust into a time travel situation.The…"
Timecrimes,highest,Trama bastante simple pero la forma en la que te la cuenta es muy buena
Timecrimes,highest,اكتشفت مؤخرًا إستعمال آخر لchatgpt قمت بإدخال التصنيف الذي أريده وقام بأقتراح لي هذا الفيلم وهو فعلا هذا ما أردته غريب يشد انتباهك ووقته قصير .حسنًا إذا لم تشاهد triangle فغالباً لم تتعرف على الفكرة إطلاقاً ولكن أن شاهدته ستعرف ما سيجري نهاية الفيلم التشابه بالاحداث وليس القصة بحد ذاتها هو يتناول معنى الندم معنى الأقدام على شيء سيئ والمحاولة لإعادة الزمن لاصلاحه لكن هل يقف الزمن لأجل واحد من مليارات البشر
Timecrimes,highest,Lo que veo cuando Vigalondo no está en casa.
The Guilty,lowest,"Not sure why this is getting such rapturous praise (currently sitting at 99% on RT). I thought this was incredibly boring. Words like “nail-biting”, “tons of twists-&-turns”, “gripping” & “clever” were used but I never experienced any of that during the film.The plot concerns an emergency dispatch officer who receives a troubling phone call. This is a single-location movie similar to such films like Phone Booth, Buried & Locke; the latter being used as the most obvious comparison as the film…"
The Guilty,lowest,Thrillers work mostly due to a threat to their featured protagonist. Cortes' Buried is tense because Reynolds is buried alive and tries not to die. It's not just about resisting death. But... WE CARE! The threats here are happening not to the character seen on screen. And we don't connect to them dramatically because of the mystery. They are even a total stranger! An idea destined to flounder. And it does!
The Guilty,lowest,i was hoping i’d like the original better but i think the execution was still poor and i hate the sub plots
The Guilty,lowest,"Dette er en ekkel film. Dårlig er den og. Fysjom.En av trailerne til filmen var the equalizer 2, og her er noe, det er ekkelt at det her tema med mislykkede-enistøing-menn-tar-loven-i-egne- hender-og-hevner-krenkede-kvinner er sånn en greie. Tvisten hjelper ikke. Og hvorfor er ikke dette et hørespill? Jaja."
The Guilty,lowest,"The more I think about this film, the angrier it makes meI can't fault the acting or pacing, and the premise is brilliant,However, what begins as a gripping and timely thriller, in which a domestic violence situation becomes a terrifying ticking clock, is ultimately a story of villifying mental illness while absolving or glossing over the violence and abuse of power of men"
The Guilty,lowest,El prota se sacó el título de detective en la tómbola de su pueblo. Requete ACAB.
The Guilty,lowest,never knew a movie can make me regret this much I saw it. der film war SO was von without sens. ✨wasted 90 mins of my life✨
The Guilty,lowest,فیلم بود یا نمایشنامه رادیویی؟؟دو سه بار فیلم استپ کردم تا یک کم قابل تحمل بشه برام. همش موس رو تکون میدادم تا ببینم چند دقیقه ازش مونده. اصلا قالبش سینما نبود.
The Guilty,lowest,Was so hard not to fall asleep.~Half a star.
The Guilty,lowest,"I didn't care for this movie. Watching one guy for 90 minutes isn't that exciting even if the story was pretty good. This, much like Locke, fails."
The Guilty,lowest,من ازبل الافلام الي شفنها برود مو طبيعي اقسم بالله فلم بس يبي يرفع ضغطك مو يشدكالعن افلام بالدنيا الدنماركيه اقص ايدي اذا شفت فلم من هالديره الخرا
The Guilty,lowest,"I never got around to logging this because fffffffffuck this film but news is there’s an American remake on its way?KEEP IT.Make better choices, Jakey G."
The Guilty,lowest,"This is vile trash. Obvious as hell and doesn’t have nearly enough material for its slim runtime, and initially it seems like it’s going to run the protagonist’s redemption arc through a domestic violence narrative. That’s gross enough, but then there’s a completely reprehensible “twist” that basically turns the film into wank fodder for Men’s Rights Activists.Fuck everyone involved with the making of this movie.Edited to add: I'm baffled by everyone praising the sound design because I found…"
The Guilty,lowest,"It feels like a first year film student's project, painfully predictable. I kept watching in hopes of it giving me more than a weak twist but I wasn't left with much."
The Guilty,highest,"Very high on my list of awesome experiences inside the Kimball Tower. I was kinda worried that staying inside the office the whole time would feel gimmicky, but it was so far from that. I was also worried that it would be an oversimplified, over-glorified portrait of a cop, but it was again, very far from that.It was incredibly written, paced, acted, and shot. I think I was most impressed by the actors we didn’t get to see. Lots of emotion in just voices. Awesome!!!!!!"
The Guilty,highest,"Media película pasó en mí cabeza?Esta película es un viaje de ida y vuelta a la psiquis del personaje principal, que nos va demostrando aspectos cada vez más oscuros de su personalidad, y cómo está dispuesto a llegar hasta las últimas consecuencias en un intento de ayudar.El director cuestiona la noción del deber y de hasta qué punto uno realmente está haciendo el bien, dejando importantes incógnitas morales.Tiene un guion excelente, pues con tan solo un personaje…"
The Guilty,highest,"ha sido la hora y media más tensa y con más golpes, que ya me veía venir, PERO ES QUE ME HA DEJADO A TEMPERATURAS MÍNIMAS IIGUALMENTE."
The Guilty,highest,definitivamente melhor que o americano
The Guilty,highest,"The best film I’ve seen with a one location premise, also completely in real time so the suspense is crazy.In between the dramatic moments of tension and action you just watch the protagonist wrack his brain trying to figure out what to do next - that is cinema"
The Guilty,highest,The writing and acting it takes to make a movie this good while all events take place through a phone call is incredible. This is a first watch masterpiece.I haven’t watched the Jake whateverhall version but I think it’s safe to say that you’d be doing yourself a favor to just read subtitles.
The Guilty,highest,Ubeskriveligt pres jeg var under kan jeg godt lig love for hold da helt kæft en film. Godnat🫡
The Guilty,highest,this is way better than the jake gyllenhal versioni love how great denmark is at making moviesdannebrog🤘🇩🇰
The Guilty,highest,This is perhaps the most intense and claustrophobic experience I've ever had. The film grabs you and does not let go for a single second as you watch a dubious dispatcher stumble his way through a nightmare scenario. What earns me the five stars is that it did not let up even at the very end. It continues to get deeper and more complex while utilizing only one backdrop. The dialogue although translated from a language I do not speak…
The Guilty,highest,"So much better than the remake, Americans, stop doing stuff"
The Guilty,highest,Çok iyi dünyanın en msrafsız filmi ama fena geriyo ve adam çok üzüldüm fen oyunculuk sıkılabilirsiniz ama geriliyorsunuz yanında biriyle izleyin sıkılmazsınız çok güzel izleyin
The Guilty,highest,Alarm center police guy. Who is the actual guilty person. Thrilling. Holywood made a remake.
The Guilty,highest,voy a recomendarle esta película a todos los que conozco
The Guilty,highest,Had to watch this in preparation for acting class. Masterful suspense thriller. Doesn’t leave a moment to waste and you are on edge the whole time especially with the twists and turns that ensue throughout the duration of the picture.
The Guilty,highest,"Så denne som overraskelsesfilm der Sivert bestemte og satt på film uten at jeg visste hvilken det var og fy søren den var knall!!Selv om jeg hadde fått noen skikkelig triste nyheter rett før var det veldig lett å leve seg inn i og bli engasjert i!!Likte også veldig godt at han var en skikkelig drittsekk som ble alt for personlig investert i jobben sin, og alle rundt ham sa han burde dra hjem, og så gjorde det…"
Calibre,lowest,"If I could give it negative stars I would, legit a waste of time"
Calibre,lowest,"I watched, like, 10% of this movie, & then I fell asleep."
Calibre,lowest,Why does this movie have 100% on rotten tomatoes.
Calibre,lowest,"Honestly one of the worst films I’ve ever watched. Predictable and boring,"
Calibre,lowest,"parabéns pra o cachorro farejador, que encerrou esse filme de uma vez. 👏🏻👏🏻👏🏻👏🏻também quero agradecer a netflix, por ter feito o primeiro filme que eu dei meia estrela. e ainda errar a classificação.odiei que ele encarou o fundo da minha alma, como se fosse eu que matei uma criança. xô, homem maluco. vai cuidar da tua criança vai"
Calibre,lowest,es tan mala que ni me acuerdo de qué se trataba y la vi hace no sé un mes
Calibre,lowest,Completely uninteresting and predictable movie with zero suspense. They tried too hard to make the film realistic to the point where it just wasn't interesting. At no point did I give even the slightest care about any character. Anyone saying this film was thrilling or anything short of completely fucking boring was paid off by netflix.
Calibre,lowest,Half star for the Scottish accent
Calibre,lowest,What a shite movie. Honestly don’t even waste your time.
Calibre,lowest,au moins les paysages sont beaux
Calibre,lowest,"Too slow and dragging for my taste. I usually enjoy these types of films. The ones where 'unsuspecting city folk go to pokey, rural villages in the backend of nowhere and encounter unfriendly locals'. The first 20 minutes where mildly interesting, due to my enjoyment of the lighting and dark/warm colour scheme, highlighting the two friends relationship to each other. I could believe they were long time school friends off for their boys' get together.We witness two morally ambiguous…"
Calibre,lowest,"Bourré de meurtre, d’hommes blancs et de fusils. Merci papa d’avoir choisi ça au lieu de Marriage Story!! 🤘🏼"
Calibre,highest,"so tense, so well paced, things being revealed in the perfect order, totally harrowing and horrible. beautifully shot and scored. a gem"
Calibre,highest,"Fantastic movie, never knew what was going to happen next! 10/10 recommend!!"
Calibre,highest,Intense! It’s your cup of tea if you like being disturbed. It is a smooth thriller and you are likely to end up depressed for the rest of the day.
Calibre,highest,"A rare gem on netflix!The relentless momentum kept me constantly on the edge of my seat that I had to press pause a couple times midway. The suspense is real!What was supposed to be a fun last trip of freedom turned into a bleak never-ending nightmare. It's a movie about choices and their consequences.Audiences were forced to be engaged in every turn, and yes, it's harrowing. It puts us in the heart and mind of the main…"
Calibre,highest,This film is so good #noscotlandnoparty
Calibre,highest,"If you want a really tense, 90ish minute movie and a lot of depth this is and ez recommend"
Calibre,highest,Brits know how to make Indie thrillers. A must watch for no thrills thrillers.
Calibre,highest,Pure anxiety all the way through AH
Calibre,highest,The way this film was not at all what I expected. Just kept me on edge throughout. Jack Lowden is the 🐐
Calibre,highest,"Amazing film omg just great all around. Great acting, great ending, great story just throughly entertaining. Makes you think what would u do in this situation"
Calibre,highest,Sat on the edge of my seat start to finish
Calibre,highest,"So simple but deeply complex. What would you do? What should they have done? When did things go wrong? So many incredible ethical dilemmas to analyze.Plus we talk about what dinner scenes mean and symbolize.Also, I thought of a take so good, it might be one of my all time best.Desert of the Reel Podcast"
Calibre,highest,Amazing one!! That confession scene and the climax was so good. Loved it.
Calibre,highest,An immensely gripping film that transports you to the Scottish Highlands and the drama that unfolds throughout the film. Gets better with every watch and is the perfect film to watch before a hike.
Calibre,highest,What a series of bad decisions made by two intelligent men. Hard to watch.  But I did and couldn’t turn away!
Coherence,lowest,like watch it if you want but….wow that shit is bogus
Coherence,lowest,fui assistir esperando um suspense assassinatos serial killer etc recebi filme sobre falha no espaço tempo 😭😭😭😭
Coherence,lowest,"Muito ruim, não aguentei nem ver ele todo. Péssimo"
Coherence,lowest,the night housebut make it for $1 with the worst actors you have ever seen in your lifethis was genuinely so awful i had to check the release date mid-watch because i becameconvincedthe only way you could put out something this cheap-looking and poorly crafted was because you were stuck in quarantine with a bunch of your actor friends and trying to pass the time. nope! made in 2013.
Coherence,lowest,if i could rate this a zero i would. i hated this movie to much it was so confusing i hate improv
Coherence,lowest,White peoples version ofUSbut lower budget.
Coherence,lowest,didnt finish. i did not care for the characters
Coherence,lowest,pior filme que eu assisti no ano de 2025 pqp
Coherence,lowest,"Eu achei até que estava sob efeito de algo assistindo esse filme, confuso, louco, e incompreensível, terminei sem entender nada."
Coherence,lowest,bobeirada meu deus me deu ate sonoo tema eh legal mas porcamente trabalhado e produzido
Coherence,lowest,"quien me devuelve la hora y media de mi vida que perdí viendo esto?. Me pareció horrible y ni siquiera merece una opinión, mis viejos me dejaron elegir pelicula, vi que la recomendaban y termine viendo una película espantosa"
Coherence,lowest,Written and directed by Viihtube
Coherence,lowest,i want to move to an alternate reality in which i didn’t waste time to watch this piece of shit
Coherence,lowest,"ASSISTIDO EM 22/03/2025.Título no Brasil: Coerência.Uma obra de produção dos Estados Unidos e Reino Unido, tem excelente crítica e foi considerado um dos melhores filmes de ficção da década, mas não para mim.Achei a história fraca, enrolada, pouco envolvente, confusa (não por ser complexa, mas por ser mal executada), incoerente e com personagens infantilizados.Perda de tempo em ter assistido e continuar comentando."
Coherence,highest,"Como eu amo filmes que apenas são. Não te explicam nada e nem fazem questão de você entender nada, são apenas histórias que acontecem. Não tem início meio ou fim (literalmente nesse caso), não existem devido ao spectador mas apesar dele."
Coherence,highest,Annoyed all of my loved ones with hypotheticals after this one
Coherence,highest,Easily the most underrated sci-fi film. This will leave you scratching your head.
Coherence,highest,coherence is the most creative horrifying mind bending sci-fi film I’ve ever seensomething about it gets under my skin and makes me feel so uncomfortablethis one’s perfect in my eyes
Coherence,highest,"Such a brilliant MINDFUCK of a movie, expertly executed despite a very low budget."
Coherence,highest,"Quando eu vi, obriguei meus amigos a verem também"
Coherence,highest,?CUAL DE TUS REALIDADES ESCOJERAS PARA SER FELIZ?
Coherence,highest,What?What?WHAT?!??I’m freaked out this is the movie that makes me can’t go pee alone.why
Coherence,highest,wait why do i want this to happen lowkey 🤓
Coherence,highest,letterlijk zoooo een goede film ik recommend deze echt hard moest je van beetje mind fuck houden
Coherence,highest,low budget mind bending underrated masterpiece!!!!! reminds me of the movie triangle(2009)
Coherence,highest,"Absolutely one of my favorite movies. Super well done and wildly suspenseful, holds up after multiple watches, in fact it’s best to at least watch it twice if more than once. So give it another go if you’ve seen it before, you’ll catch stuff you missed the first time, this is your sign to rewatch it, it’s less than 90 minutes long."
Coherence,highest,"o melhor jeito de assistir é sem saber nada do filmequando vc vai entendo oq está acontecendo é tipo muito loucogostei muito, fiquei pensante demais no final"
Good Time,lowest,"""You choose your own truth.""Cross the room if you are a homophobic, racist, narcissistic, misogynistic, and pedophilic person who sexually assaulted a minor, did blackface, stole a bank, and was romanticized in the movie (that is also racist and the directors/producers are involved in pedophile and sexual assault accusations) from start to finish.Connie Nikas crossed the room."
Good Time,lowest,"chato, previsível, repetitivo e problemático"
Good Time,lowest,"this movie was boring as hell & then when the main character (a grown ass man) started hooking up with a 16 yr old girl, i turned it off. hard pass."
Good Time,lowest,what’s wrong with the cameras? I’m dizzy
Good Time,lowest,Frustrating plot and unsatisfying ending
Good Time,lowest,shit from a butt. poop from an ass. doodoo from a colon. wonderful dream for white guys
Good Time,lowest,guys this was so bad what’s with the think pieces in the reviews
Good Time,lowest,"i’m chris hansen, and this is To Catch A Predator"
Good Time,lowest,Worst movie I’ve ever seen. Got convinced by my roommates because reviewpig said it was good. Worse than mad max and that’s saying something. Never listen to a reviewpig recommendation ever again.
Good Time,lowest,It makes perfect sense that this is one of Pete Davidson’s favorite movies (derogatory).
Good Time,lowest,"not because it’s bad, but because of my inability to finish this it gives me the worst panic attack ever whenever i do (great movie otherwise)"
Good Time,lowest,"If you are in a good mood but don't want to be, this the film for you.But not because the film actually tells a compelling but devastating story, rather the occurances and character dynamics in and of themselves are. If it were shot as a documentary, it would have been equally depressing, since the film does not really add anything to the absolute misery depicted here."
Good Time,lowest,I'm sorry I was yawning so bad.
Good Time,highest,"Crime/Thriller is such a hard genre to try and distinguish yourself in but Good Time does it amazingly. Despite being such a dark and serious story, the film is full of color and beautiful shots. Robert Pattinson portrays a man on the brink of losing his freedom so well and keeps you invested in a character that you know is in the wrong. The movie picks up so fast and never slows down. Every situation seems even more absurd than…"
Good Time,highest,still fresh and a thrilling watch
Good Time,highest,this random greatest movie of all time. the safdie brothers could write the godfather but francis ford coppola could not write connie nikas top 10 problematic moments.
Good Time,highest,I love this movie. Beginning to end had me on the edge of my seat. So suspenseful. Robert Pattinson Kills this movie. This movie made me realize I like him as an actor
Good Time,highest,That is how you tell a story. It doesn’t matter if this guy is completely irredeemable I still need to what is going to happen next. I’m going to be appalled by what happens next but I’m not going to take my eyes off the screen because it’s too good.
Good Time,highest,when he’s covered in pink dust… idk that dominos bathroom is my favorite scene.
Good Time,highest,fuck this was so fun and crazy and RAHHHH i loved it and everything abt it fuck i love r patz
Good Time,highest,Je l’ai regardé avant de dormir ça m’a trop stressé ouf
Good Time,highest,always love a movie that can keep me clenched and also robert pattinson
Good Time,highest,Don’t be confused; it’s just gonna make it worse for me.Pretty sure I knew these guys in high school.Pattinson crushes in this. Extremely stressful experience all around. Five stars.
Good Time,highest,"stunning, gorgeous, incredible, perfect"
Good Time,highest,This is the definition when u friend calls u to hang out at 3am 10/10
Good Time,highest,I genuinelly believe that this is the greatest movie ever made. Robert Pattinson's performance was amazing. The cinematography is perfect. The writing is geniously written. Just everything about the movie is great. Seriously reccomend this one. Please don't make it a filmbro movie
Good Time,highest,Very successful at making me uncomfortable. Excellent to watch
The Invitation,lowest,they need to give us negative ratings.HORRENDOUS
The Invitation,lowest,"Se tivesse uma orgia no final desse filme, pelo menos eu sairia com a sensação de ter visto algo inesperado.Parece ter sido feito para quem acha que gosta de thrillers, mas na verdade só quer algo confortável e sem riscos. Não tem suspense, não tem reviravolta – só uma jornada linear rumo ao óbvio, com um terceiro ato que entrega exatamente o que você imaginou antes mesmo dos créditos iniciais terminarem."
The Invitation,lowest,The most BORING film I’ve ever seen
The Invitation,lowest,"This movie was very predictable. To me, it bad and stupid."
The Invitation,lowest,"Horror? Thriller? mystery?The plot is quite predictable, 5 mins in you know somethings wrong, 8mins in you know already whats going to happen …Absolutely no surprise no real plot no horror. Sure you feel uncomfortable but is mostly cause you are just waiting for “what you know its going to happen” to happen"
The Invitation,lowest,The lead Actress was fantastic. That was all that I found was  worthwhile of myself finishing this dull and pulseless ( No Pun Intended) scare free; fumble of a film.
The Invitation,lowest,What the fuck this movie was dumb as hell i am so done. Waste of my time I cannot believe this has a 90% rotten tomato rating. The “big plot twist” wasn’t even that crazy like i am not happy
The Invitation,lowest,"Terrible acting, predictable as shit and shallow to the point you can’t connect with any character whatsoever.It tries to make you think by keeping some elements of the story/past hidden but all it does is cheaply try to entice the viewer.The premise is so cool and the whole thing is just a mess"
The Invitation,lowest,"I ate some lettuce spinach mix that seemed to be going through some sort of fermentation process while watching this, so I guess this one is on me"
The Invitation,lowest,"Awful script, more than halfway through the movie and still just really weird. Waste of time. So terrible fr. What even. Dumpster dire truck of a movie."
The Invitation,lowest,"Couldn’t even get past 30 minutes of this one. Every one’s acting except the main guy was horrendous. Super slow, not even a little enticing. Maybe one day I’ll try again. Doubt it though."
The Invitation,lowest,I can’t think of anything to say right now but there is a haunting flashback scene where main man is in the bathtub with his spooky wife and then the son comes in and the dad is like “uhhh son go away nothing to see here” and the son just creepily smiles. And it’s kinda portrayed as supposed to be endearing
The Invitation,lowest,literally how does anyone like this movie.. from the first 15min u know how it’s going to end and then you just have to sit and listen to the most unbearable dialogue for the next hour thirty minutes. nothing happens until the last 10min and even then it’s BORING!!! this movie is BORING!! literally not tense at all just watching the main guy be like omg guys something is wrong!!! for the whole movie and then. woah. he’s right!!
The Invitation,lowest,"Incroyablement chiant ptn, j'ai même pas la force de décrire ce que je viens de voir tant le film m'a lessivé. Même le twist était fatigué de lui-même"
The Invitation,highest,Pruitt and Claire prolly had a lovely chat and exchanged numbers…
The Invitation,highest,"“The Invitation” begins as a seemingly innocuous dinner party but quickly transforms into a slow-burn thriller that probes deeply into grief, trauma, and the dangers of conformity. The film’s brilliance lies in its ability to evoke unease through quiet moments and subtle tension. Kusama’s direction is meticulous, using the claustrophobic setting to amplify the paranoia. The slow revelation of the guests' motives and the tension-filled atmosphere lead to an utterly chilling climax. ""The Invitation"" is a masterclass in psychological horror, leaving you questioning your own perceptions and choices. An unsettling exploration of human nature at its darkest."
The Invitation,highest,Watched again still so so so good
The Invitation,highest,"beautifully crafted, explores unsettling themes of community"
The Invitation,highest,"You must go in blind.Tense, chilling & unsettling.With only a 1 million dollar budget, it shows that idea and execution is everything. Lesson learned, always trust your gut."
The Invitation,highest,This is what happens when white rich people get too bored
The Invitation,highest,This movie really makes you think “what if I were in that situation?”
The Invitation,highest,I’ll never forget cutting out of work early to watch The Invitation at IFC Center. A thoroughly gripping thriller that doesn’t waste a minute of its runtime. Unshakeable tension leading to one ofthemostmemorable and unsettling final acts. Cannot recommend this film enough. In Karyn Kusama I trust.
The Invitation,highest,really good watch slow start but crazy ending fun from a psychological thriller and a slasher perspective some continuity errors but i’m cool w it :3
The Invitation,highest,"A movie about a cult and a slow burn, some of my favorite things."
The Invitation,highest,where do i find more movies like this
The Invitation,highest,"Everything about this movie works. There’s so much tension building, it keeps you locked in the entire time, and actually convinces you the characters are worth caring about. Incredible sound design and soundtrack, incredible cast."
The Invitation,highest,This was a really good movie. I enjoy films that take place in one setting. I like how you knew something was wrong the entire movie but you can’t really put your finger on it til the end. The ending definitely pays off. There could have even been a sequel in my opinion.I like how it tied in to the death of his child. This movie was working through a few layers
Ida,lowest,if there like a law in poland where all their movies have to be about ww2
Ida,lowest,"Pawlikowski acts like an excited child who obsessively plays with one toy. His academic ratio compositions that wowed the audiences are so dull, decorative and meaningless that after 10-20 minutes into the film, I was beating myself out of boredom, hoping to witness something real and worth watching among these ""magnificent"" pictures. Alas, it failed me through and through."
Ida,lowest,"Its relentlessly grim and never really comes to grips with what makes Ida tick, so we feel very little for her, or anyone, which is a problem. If you have a knowledge of the politics of this era after the war no doubt you will understand the dynamic more fully, but an average movie goer wanting to be entertained will find nothing here. It's lovely to look at and shot in the old fashioned 4-3 format in beautiful black and white, and the characters move in and out of the frame - which is interesting, but not the first time this has been done. Extremely depressing."
Ida,lowest,"cute and sad, but i hate being sad"
Ida,lowest,I'm gonna go pee due to boredom
Ida,lowest,"Score: 4/10Replay Value: NoneWorth Buying: NoIt's not because it's in Black & White or it's 1:33 aspect ratio reminding me of the film Mommy (2014). It was soooo boring. I love Foreign Films and I guess my expectation for this was just too high. There wasn't enough happening enough for me to even pay attention 100% of the time. The only Pros were both the Acting & Music, and if not for the Acting I'd probably give this a…"
Ida,lowest,"Mon partiel est foutu j'ai rien suivi au filmUpdate : j'ai eu 7,25 sur 20 nsm"
Ida,lowest,The story had so much potential if they would’ve actually focused on the script instead of aesthetic shots and her beautiful face for every 2 seconds. I hate when they do that
Ida,lowest,Yawn. Only thing great about this film is the cinematography.
Ida,lowest,No puede ser que esta ver*a haya ganado mejor película extranjera. 3hs de puro aburrimiento
Ida,lowest,"“Your only choices, as a Jew, are suicide or convert and accept Jesus Christ as your Lord and Savior” -IdaGets away with its disturbing message because it dulls your senses into complacencyArticulated better at:jewishjournal.com/culture/arts/hollywood/162774/what-ida-gets-right-and-wrong/?gf_protect_submission=1"
Ida,lowest,¿Buscan algo para combatir el insomnio? Esta película es la indicada.
Ida,lowest,No puedo creer que esta mierda le ganó a Relatos Salvajes como mejor película extranjera
Ida,highest,"Con que honesta simplicidad se muestra la complejidad de la vida.Una película como esta solo pudo haber sido grabada en un país como Polonia, el bastión más fuerte del catolicismo."
Ida,highest,POLISH CINEMA IS SMTH ELSE 👌🏻🍽️🍷🎞️
Ida,highest,"emocje są tam gdzie nikt ich nie wypowiedział, a intymność tam gdzie nie ma nagości. film nie krzyczy i pozwala poczuc, dawno nie mialam takich odczuc po filmie"
Ida,highest,"Really beautifully made movie. A lot is conveyed with minimal dialogue or connective tissue. Difficult to know what to say about the movie, but to hit upon the main points, Ida is about her exposure to the world before taking a nun’s vows, a glance at what her life could be outside of the devout path, and learning about her family that is alien to her. What her life is not/ what her life would have been without the holocaust…"
Ida,highest,"Ida feels like holding your breath for 80 minutes..and realizing you never exhaled.Shot in stark black and white, with frames that leave characters dwarfed by silence and space, this film doesn’t scream. It stares. It asks you to sit still, to feel the weight of identity, grief, and history with no filter, no excess..just quiet devastation.Ida, a young nun about to take her vows, learns a truth that shakes everything she thought she knew. Her journey with her…"
Ida,highest,Wanda = top 10 cinematic aunts in history
Ida,highest,shotout to black and white war and post war romantic noir dramatic movies gotta be one of my favorite genres🙏
Ida,highest,"what responsibility do we have to the past, to our country and their sins, to our parents and their sins, to ourselves and our sins? what does the past mean for us?insane cinematography. most beautiful frames i have ever seen.Karl Ulrich & Brandon Wong recfrom Poland"
Ida,highest,"Cada plano es hermosamente atrapante, en la manera en que sale totalmente de lo convencional, haciendo un trabajo en equipo fenomenal con la iluminación, usando a veces la saturación como una herramienta estética; y junto con el diseño de arte simple, conciso y preciso, entregan una imagen exquisita.Una búsqueda, un viaje, introspectiva y poderosa con momentos tan maravillosamente construidos como sus personajes. La producción seguramente fue un pilar muy bien formado durante la realización de esta película.Cada diálogo,…"
Ida,highest,I will never get over how beautiful this film is
Ida,highest,"A quiet and somber exploration of womanhood, search for identity, multigenerational trauma, and past affecting future, set in 1960s communist Poland."
Ida,highest,"¡Es una road movie con dos personajes tan dispares como el agua y el aceite! Y luego se convierte en un manifiesto sobre la insatisfacción, la crisis y el sentido de la vida. Me impresionó cuando la vi y me sigue impresionando cómo cabe algo tan perfecto en tan solo 80 minutos.Mucha gente considera que ‘Cold War’ es la obra maestra de Pawlikowski y no lo cuestionaría, pero ‘Ida’ me parece un poquitito mejor simplemente porque ‘Ida’ hace más preguntas incómodas y tiene planos que te expulsan ese tipo de suspiros largos que te hacen recordar lo que ya no fue."
Ida,highest,"Un très beau film sur la transmission des traumas, la quête de sens, la grande histoire par la petiteTrès beau formellement et très juste sur le fond et la forme : loved it"
The Painted Bird,lowest,"Rivette se levanta, te actualiza De la abyección y lo hace libro de mil hojas con esta basura."
The Painted Bird,lowest,i'm concerned for the kid who had to act in this movie why the fuck would anyone make this
The Painted Bird,lowest,Amazon I want my 99 cents back.This movie steals every scene from another movie and overall is just stupid and sucks💩.
The Painted Bird,lowest,"In this film, a new genre is invented - holocaustploitation.With each new scene, the film tries to surprise with some new abomination and becomes completely predictable."
The Painted Bird,lowest,"My review of this could easily turn into the atrocity bitchabition, and it is not worth it.A film-festyA Serbian Film, but less splatstick & moreCall of Duty: This Is Serious, Mum.Mere seconds after I thought ""I bet this director loves CoD"" there was a Wilhelm Scream. Between that & its inability to have a German soldier do a good deed without immediately following it up with a gratuitous massacre of Jews presented as a rail-shooter, you know everything…"
The Painted Bird,lowest,I just remembered this movie sucks literally one scene in particular just came back to me like damn ptsd. This movie is horrible and pointless and literally should die and be vilified idgaf. Fuck this director fuck this the source material prolly ass too and fuck that fuck Jordan Peterson for talking bout that book that mf weird and depressed. Anyways idk why i ever watched this avoid it like the plague if u have any trauma thank u good day.
The Painted Bird,lowest,"In 2019 some director guy had a brain blast from heaven and was like ""WOAHHHH what if i shot my depressing gross arty movie in BLACK AND WHITE!!!! NO ONE HAS EVER DONE THAT BEFORE AND YEAHHH THATD MAKE IT SUPER UNIQUE AND COOL AND MAKE UP FOR THE FACT THAT MY MOVIE IS A WORTHLESS EXERCISE BASED ON A BOOK THAT WAS ALSO A WORTHLESS EXERCISE/A LIE SOME DUDE WHO SPENT THE WAR OUT OF HARMS WAY LIKED TO…"
The Painted Bird,lowest,"No pude terminarla. Definitivamente no se la recomiendo a nadie. No llegué a las 2 horas... para mi, vomitivo."
The Painted Bird,lowest,It should have been 90mins long max.
The Painted Bird,lowest,We soldiers for God needin new recruitsSo if you rhymin for the loot then youse a prostitute
The Painted Bird,lowest,"Hateful, pointless, farcical, ugly, tedious, cheap, exploitative, incredulous, empty, unpleasant, misogynist, boring, overlong, heartless, humourless, BLACK & WHITE, contrived, cynical, nasty – just a few words that only come close to describing how utterly repellent The Painted Bird is, a film with absolutely no redeeming factors bar about 4 minutes of visually arresting cinematography and a few short games of “who’s that guy again?” as a few vaguely notable actors turn up along the way to mostly abuse, torture & betray a…"
The Painted Bird,lowest,Can i give a film 0 stars?How people can call this entertainment and a must watch if you are a cinephile i have no idea. Its a snuff film.
